gbifid,latitude,longitude
1802722435,32.335563,-110.897965
1562977764,32.28267,-110.902808
1438807974,30.291053,-110.721334
1500282664,32.054131,-110.683655
1668872859,32.251105,-110.716942
1802687078,32.194042,-111.019753
1802687545,32.25618,-111.073661
1500298143,32.312625,-111.013467
1586103508,33.25528,-111.33812
1671724917,33.565278,-112.681458
1571200473,32.078044,-110.647537
1438808282,30.806168,-112.238588
1500350867,32.374017,-111.051444
1668872052,32.194217,-110.74643
1420619549,29.058333,-111.225
1640097986,32.978448,-110.767899
1677296134,33.497788,-112.678173
1438808544,31.971438,-113.623736
1677302671,32.834644,-112.136404
1802713659,32.348478,-110.95275
1500324249,32.336158,-111.005058
1805411925,32.369263,-111.080833
1453426481,32.277878,-111.084655
1677315084,32.284938,-111.035461
1802710844,32.353562,-110.953863
1805395831,32.388313,-111.067375
1668864947,32.286775,-110.815125
1453406693,32.200332,-112.759828
1586104614,32.530333,-111.44622
1586120191,31.922913,-110.925575
1703154806,33.756624,-112.121063
1438808396,28.591367,-110.246048
1418714861,31.979501,-113.237388
1065605475,32.645103,-111.406045
1453469694,32.287828,-111.038492
1418714860,31.125955,-111.382701
899942925,32.156084,-111.04253
1457616224,32.377422,-111.140092
1802687583,32.254763,-111.065828
1640051395,32.290455,-111.073333
1453373671,32.319062,-110.815895
1571149311,32.242458,-111.053514
1418714359,31.978418,-113.238229
1668881567,32.342572,-111.000642
1562981058,32.251717,-111.032403
1677285356,33.458538,-111.94272
1438808214,28.828286,-111.773518
1253317417,33.894393,-111.958569
1802711333,32.35355,-110.950875
1668872539,32.278978,-110.729538
1562897746,32.440953,-110.4888
1418713531,29.560865,-112.215981
1699372168,32.261517,-111.066658
1418713371,31.125963,-111.382817
1802714306,32.323077,-110.910078
1640078074,32.150128,-111.028764
1703214311,32.20858,-110.993387
1418714080,29.858767,-111.480418
1586946356,33.815597,-112.238487
1562895396,32.24333,-111.020469
1586104334,32.537372,-111.426338
1668872575,32.279875,-110.730046
1562924798,31.95753,-110.891892
1438808126,34.181287,-113.011714
1438808560,32.211696,-114.005061
1453269092,32.165517,-110.723008
1802700747,32.28997,-111.111992
1677307272,34.779581,-113.605407
1453376001,32.288708,-111.125053
1703234535,33.614831,-111.821756
1453395397,32.714512,-110.620025
1229609779,33.34697,-112.084601
1438808112,28.591784,-110.246321
1802728740,32.3232,-111.101853
1500260331,32.242408,-111.053061
1802704491,32.090092,-110.672347
1802701947,32.39548,-111.072044
1500352343,32.607262,-111.244438
1562895493,32.409663,-111.029761
1668894779,32.41713,-111.002
1805405727,32.379137,-111.165497
1580514753,32.23368,-111.169792
1455572878,32.254384,-111.197226
1500295470,32.29087,-111.128219
1453376187,32.288628,-111.122575
1668864818,32.274333,-110.822128
1640129835,33.287914,-111.096506
1699387765,32.126573,-110.971875
1418714826,31.304532,-112.552664
1677294776,33.557071,-112.677774
1802753408,32.299472,-111.088425
1500340007,32.050361,-112.025605
1584423337,32.506772,-111.310233
1418713700,32.859967,-110.707086
1640070883,32.172792,-111.003517
1677341130,34.753553,-113.593372
1677351403,32.279912,-111.0493
1562952977,32.279837,-111.09565
1453344084,32.287905,-111.1632
1584420030,33.083108,-111.374192
1699373282,32.260792,-111.041144
920877500,32.019722,-112.82135
1269563331,32.072313,-112.728089
1453348506,32.265663,-110.722228
1580514833,32.377122,-111.372445
1640126364,33.095525,-110.931778
1584418479,33.403818,-111.972665
1562902842,32.678283,-111.062492
1418713361,32.859617,-110.707098
1500264874,32.229713,-111.075036
1802727276,32.310958,-111.098458
1802714252,32.3427,-110.958
1802710877,32.351775,-110.9514
1562981022,32.250903,-111.034439
1703218990,32.271847,-111.063003
1418713627,32.211118,-114.006915
1699375153,32.251245,-111.039833
1453511054,32.310775,-110.720742
1065572960,32.314991,-110.720021
1802738583,32.088764,-110.656355
1500324217,32.324397,-111.003631
1571151262,32.239555,-111.051803
1584420594,32.90383,-111.281655
1699374841,32.257983,-111.043594
1562974443,32.278858,-111.092003
1802752610,32.296422,-111.048547
1677302393,32.835406,-112.163563
1500340578,31.940717,-111.922212
1269564605,33.784203,-111.828872
891033752,33.711125,-112.025234
1580515762,32.437947,-111.371688
1457615696,32.377267,-111.140372
1584424053,32.435303,-111.330003
1802731064,32.231856,-111.045093
1418713200,29.858434,-111.480013
1438808869,28.828232,-111.773394
1802723078,32.217208,-111.102722
912225717,,
1562917525,32.349388,-111.045386
1438808387,30.806184,-112.238525
920935566,33.455505,-111.476555
1438808952,29.062101,-110.606008
1802704530,32.122755,-110.728649
1418713301,30.806334,-112.238266
1802716856,32.332787,-110.894581
1802700744,32.289905,-111.112367
1249291410,31.993481,-112.748523
1500294393,32.283825,-111.118378
1453536268,32.153389,-111.129097
1580516138,32.444122,-111.404822
1562964929,32.315617,-110.965797
1562980029,32.296683,-110.868003
1621793026,32.325225,-111.094955
1418713673,31.972755,-113.626333
1802752664,32.294167,-111.05185
1802711478,32.326705,-110.909875
1438808113,26.777049,-109.304928
1571151070,32.250553,-111.039719
1802665221,32.407917,-111.0633
1562917076,32.344578,-111.051842
1584434632,32.243524,-111.167926
1640129893,33.264512,-111.345803
1802664277,32.384874,-111.101608
1438808391,26.777132,-109.303629
1418713806,28.590567,-110.251566
1418714873,32.210583,-114.00602
1438808188,28.828267,-111.773651
1668868930,32.306583,-110.860283
1453471378,32.221538,-111.097442
1702467402,32.275259,-111.032231
1438808747,29.059151,-110.602157
1802709817,32.23222,-111.048858
1562948513,32.326247,-111.134544
1802704691,32.119103,-110.736953
1562924957,31.956072,-110.983437
1571180511,32.327572,-110.990983
1500347612,32.61798,-111.209092
1453373679,32.313478,-110.815063
1562952996,32.280262,-111.096711
1806350484,32.335953,-111.105675
1562917512,32.359005,-111.034194
1562898648,32.586433,-110.538278
1586120419,32.528972,-111.450745
1418713711,31.971985,-113.624735
1802687002,32.194012,-111.018303
1438808409,28.828285,-111.773579
1802687629,32.260872,-111.05455
1699390321,32.308631,-111.057043
1453426795,32.2775,-111.091447
1438808180,28.828131,-111.773773
1418713249,32.864417,-110.69758
1668814623,32.016219,-111.351433
1640058073,32.444897,-110.995383
1703201893,32.271673,-111.063331
1699390240,32.308601,-111.074752
1418713775,31.979268,-113.236969
891125482,32.244013,-111.168171
1580514735,32.236725,-111.170088
1702484764,32.996193,-111.756711
1418714951,29.058251,-110.60617
1438808069,32.211265,-114.005499
1562917486,32.338272,-111.037986
1438808466,31.304203,-112.552302
1586120197,31.924983,-110.927283
1438808339,29.858434,-111.480075
1640110534,32.815197,-111.266358
1306586544,34.044862,-112.151141
1805387732,32.255878,-111.061325
1802715303,32.336272,-110.909928
1453370347,32.139747,-110.7342
1802678720,32.39543,-111.07608
1562957065,32.278278,-111.090111
1668866144,32.272862,-110.854195
1500227113,32.265412,-111.013686
1802715329,32.334417,-110.909942
1802740251,32.155456,-110.773217
1671724324,34.799383,-113.609531
1572333121,32.268637,-111.07263
1500316623,32.251945,-110.672578
1802670237,32.288708,-111.090797
1640110419,33.251988,-111.098626
1802752741,32.296753,-111.083314
1418714063,29.858517,-111.480148
1438808280,28.829232,-111.773679
1418713724,28.592234,-110.251278
1699372176,32.260703,-111.06938
1453294188,34.534787,-113.454045
1227765812,32.324275,-110.80862
1802670265,32.288495,-111.092317
1571149215,32.242687,-111.051819
1438808028,31.12572,-111.382795
1668868250,32.285683,-110.857345
1668868254,32.28686,-110.854453
1586102788,32.653855,-111.399933
1453424373,32.308108,-111.079872
1562981040,32.256512,-111.019822
1677341059,33.548689,-112.6783
1562934131,31.99146,-111.091466
1562928641,31.961455,-110.802087
1562950173,32.282303,-111.093253
1453268347,32.292092,-111.208108
1500295943,32.294338,-111.085975
1438808627,32.211602,-114.006772
1562930413,32.005408,-110.788772
1562909047,32.32275,-110.969908
1584434593,32.685157,-111.447066
1806355430,32.237747,-111.051833
1453393633,34.570825,-113.467522
1438808304,29.858367,-111.479878
1668813794,32.005583,-111.358545
1802715325,32.336862,-110.910003
1699370255,32.262837,-111.062758
1438807932,32.210834,-114.00598
1668885103,33.449705,-112.072142
1500286452,32.330425,-111.081842
1702490428,33.00343,-111.746299
1802700720,32.2897,-111.110328
1802704488,32.088281,-110.669363
1500338912,31.985163,-112.836662
1640106602,33.298458,-111.088598
1668887931,32.356522,-110.978583
1668878947,32.194222,-110.740997
1438808886,30.2911,-110.721968
202144014,,
1500260279,32.24265,-111.052186
1562952252,32.285201,-111.098293
1562964812,32.252125,-110.941422
1562952406,32.281295,-111.09555
1668866966,32.29042,-110.84578
1802727053,32.319333,-111.086525
1453427003,32.274475,-111.092658
1418713236,32.864251,-110.697794
1703179800,32.350411,-111.121182
1571115263,31.933238,-110.840667
1562950073,32.2811,-111.093361
1671725421,34.784409,-113.607641
1586103219,33.067259,-111.451621
1088911334,33.361219,-111.735078
1802669191,32.286687,-111.0905
1699387842,32.119552,-110.977777
1453453045,32.220837,-111.097472
1438808065,29.858817,-111.48047
1668878976,32.205772,-110.738022
1269553724,33.751955,-111.826023
1802731229,32.228403,-111.040893
1668894226,32.405237,-110.995903
1065605409,32.64517,-111.407403
1668871454,32.083275,-110.919328
1699381617,32.294195,-111.050003
1584421492,32.901214,-111.278972
1802727998,32.323212,-111.102225
1500278846,32.308697,-111.100853
1802752697,32.294278,-111.079628
1563428759,33.2415,-110.259605
1802691221,32.192375,-111.027992
1562930120,31.962678,-110.825097
1802753415,32.299583,-111.088433
1802692025,32.192453,-111.019736
1802730208,32.321053,-110.879487
1453395241,32.711297,-110.650345
1272082037,33.728871,-111.50744
1421760316,30.719444,-111.833333
1703160021,32.323288,-111.08663
1802708318,32.087953,-110.661338
1668866153,32.272701,-110.843831
1586945328,33.862992,-112.19123
1418713428,34.181369,-113.011662
1677315830,32.85786,-112.38514
1802752757,32.29728,-111.081825
1677352371,32.281692,-111.057908
1453453954,32.257213,-111.05023
1562922813,32.236242,-111.004403
1438808668,30.291153,-110.721624
1586104546,32.528205,-111.447722
1584423118,32.291826,-111.249634
1500335915,31.962947,-112.806763
1668866157,32.282468,-110.855127
1677288144,32.895317,-112.496235
1802669153,32.286649,-111.090768
1457596535,32.397158,-110.457947
1802709746,32.233508,-111.055305
1640128752,33.147425,-110.991576
1453455049,32.243767,-111.065628
1562938356,31.941095,-110.798937
1571181056,32.327495,-110.998688
1453114071,32.124375,-111.049019
1453539273,32.161858,-111.104958
1453183146,33.551696,-111.610795
1668870021,32.286342,-110.857162
1438808637,31.978167,-113.238509
1562948377,32.317587,-111.155289
1438808655,31.971049,-113.624222
1453454954,32.244053,-111.065605
1571151303,32.250708,-111.05818
1805379291,32.288733,-111.115097
1453373812,32.310122,-110.812003
1671725485,33.647295,-112.495954
1438808780,30.29137,-110.721572
1500339439,32.204475,-112.530512
1500284646,32.150147,-110.734458
1802709767,32.23235,-111.049858
1418713460,29.561549,-112.214255
1640133679,32.642712,-111.115661
1453374021,32.313637,-110.812355
1802664414,32.390233,-111.076011
1455572160,32.197647,-111.1763
1453455988,32.239883,-111.091622
1572348726,31.963122,-110.853128
1586104589,32.530333,-111.44622
1418715083,31.972334,-113.625729
1418713683,31.972149,-113.626422
1500295950,32.294328,-111.08448
1457633503,32.267567,-111.115783
1677293356,33.745891,-113.760574
1438808469,29.858517,-111.480179
1640128126,32.125989,-111.021872
1455595927,32.334075,-111.106208
1438808855,30.806385,-112.238078
1802764012,32.29762,-111.09893
1802667084,32.388313,-111.067589
1584423204,32.291783,-111.237463
1584417906,32.692508,-111.083739
1586158927,32.208937,-111.023439
1453121849,32.33755,-111.121614
1802752722,32.295442,-111.080789
1453460222,32.2212,-111.097725
1438808218,31.304551,-112.552654
1802687600,32.257217,-111.068144
1584417765,33.102158,-111.371912
1562981119,32.256528,-111.019775
1438808792,28.591818,-110.246403
1584408051,32.38498,-111.321137
1802687553,32.256925,-111.073203
1418713201,29.561099,-112.216066
1562944376,32.338178,-111.12278
1453430378,34.542328,-113.444412
1640095204,32.760684,-110.652914
1562898720,32.573708,-110.581588
1699370276,32.267097,-111.062797
1453429455,33.826697,-112.42112
1802702147,32.155456,-110.773217
667634632,,
1562982894,32.26125,-110.958405
1802700774,32.289008,-111.112853
1802666837,32.25575,-111.065047
1024178143,32.159716,-110.715317
1802704301,32.088142,-110.668953
1438808102,31.125882,-111.382816
1584410777,32.268692,-110.921937
1802687374,32.290808,-111.089644
1572348863,31.957705,-110.918005
1802716386,32.334072,-110.902197
1640078133,32.159626,-111.016789
1640059387,32.462095,-110.973008
1562917514,32.333103,-111.022133
1640088755,33.154142,-110.806428
1453348713,32.269178,-110.715363
1562957181,32.278447,-111.091011
1802694276,32.237258,-111.034064
1586917608,27.926729,-110.834476
1802670251,32.288978,-111.090683
1640071071,32.169516,-111.005408
1562897787,32.438206,-110.461417
